temperature,latitude,longitude,nh3,no2,mq131,mq7,pm25,pm10,aqi,humidity,timestamp
30.30,18.519400,73.853233,0.00,0.00,0.00,0.00,0.17,32.65,32.65,43.43,1734927340612.0
26.60,0.0,0.0,0.00,0.62,0.04,0.30,174.54,235.01,235.01,71.10,1734865173193.0
26.60,0.0,0.0,0.00,0.65,0.05,0.29,172.39,232.08,232.08,70.70,1734865168293.0
26.60,0.0,0.0,0.00,0.59,0.03,0.28,169.84,228.91,228.91,70.00,1734865163070.0
26.60,0.0,0.0,0.00,0.65,0.03,0.27,169.94,228.97,228.97,68.80,1734865158043.0
26.60,0.0,0.0,0.00,0.65,0.02,0.26,0.00,0.00,0.65,68.90,1734865153977.0
26.60,0.0,0.0,0.00,0.75,0.04,0.26,163.10,219.88,219.88,68.60,1734865148008.0
26.60,0.0,0.0,0.00,0.73,0.03,0.29,163.20,220.00,220,69.20,1734865142838.0
26.60,0.0,0.0,0.00,0.70,0.05,0.28,162.81,219.47,219.47,69.50,1734865137745.0
26.60,0.0,0.0,0.00,0.73,0.03,0.27,161.83,218.18,218.18,69.80,1734865132698.0
26.50,0.0,0.0,0.00,0.78,0.03,0.26,162.41,218.83,218.83,69.80,1734865127731.0
26.50,0.0,0.0,0.00,0.70,0.03,0.24,161.88,218.06,218.06,69.50,1734865122592.0
26.50,0.0,0.0,0.00,0.81,0.04,0.26,160.90,216.77,216.77,68.60,1734865118320.0
26.50,0.0,0.0,0.00,0.84,0.02,0.22,161.19,217.13,217.13,68.20,1734865115444.0
25.90,0.0,0.0,0.00,0.48,0.04,0.11,0.00,0.00,0.48,66.60,1734864670025.0
25.90,0.0,0.0,0.00,0.55,0.06,0.13,0.00,0.00,0.55,66.60,1734864665091.0
25.90,0.0,0.0,0.00,0.57,0.06,0.13,17.84,34.37,34.37,66.60,1734864658871.0
25.90,0.0,0.0,0.00,0.57,0.06,0.13,0.00,0.00,0.57,66.60,1734864654843.0
25.90,0.0,0.0,0.00,0.57,0.06,0.13,17.79,34.60,34.6,66.60,1734864648926.0
25.90,0.0,0.0,0.00,0.50,0.05,0.13,0.00,0.00,0.5,66.60,1734864644685.0
25.90,0.0,0.0,0.00,0.59,0.06,0.14,0.00,0.00,0.59,66.60,1734864639588.0
25.90,0.0,0.0,0.00,0.50,0.04,0.12,0.00,0.00,0.5,66.50,1734864634568.0
25.90,0.0,0.0,0.00,0.57,0.06,0.13,0.00,0.00,0.57,66.50,1734864629452.0
25.90,0.0,0.0,0.00,0.57,0.05,0.13,16.86,32.20,32.2,66.50,1734864623362.0
25.90,0.0,0.0,0.00,0.50,0.05,0.13,0.00,0.00,0.5,66.50,1734864619414.0
25.90,0.0,0.0,0.00,0.55,0.04,0.12,16.76,32.26,32.26,66.40,1734864613236.0
25.90,0.0,0.0,0.00,0.57,0.06,0.14,0.00,0.00,0.57,66.50,1734864609170.0
25.90,0.0,0.0,0.00,0.50,0.04,0.12,0.00,0.00,0.5,66.60,1734864599153.0
25.90,0.0,0.0,0.00,0.57,0.06,0.14,0.00,0.00,0.57,66.60,1734864593923.0
25.90,0.0,0.0,0.00,0.55,0.05,0.13,17.99,36.48,36.48,66.70,1734864587877.0
25.90,0.0,0.0,0.00,0.59,0.06,0.15,0.00,0.00,0.59,66.70,1734864583988.0
25.90,0.0,0.0,0.00,0.59,0.06,0.15,18.28,36.95,36.95,66.80,1734864577703.0
25.90,0.0,0.0,0.00,0.59,0.06,0.14,0.00,0.00,0.59,66.80,1734864573743.0
25.90,0.0,0.0,0.00,0.55,0.05,0.13,0.00,0.00,0.55,66.80,1734864568543.0
25.90,0.0,0.0,0.00,0.62,0.06,0.14,0.00,0.00,0.62,67.00,1734864563503.0
25.90,0.0,0.0,0.00,0.55,0.05,0.15,0.00,0.00,0.55,67.00,1734864558434.0
25.90,0.0,0.0,0.00,0.62,0.06,0.15,17.79,33.37,33.37,66.90,1734864552442.0
